
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
to have the greek paper be not the great help that at first flush it seem,to bn:00089240v the bn:00103785a bn:00057563n bn:00083182v bn:00116360r the great bn:00002155n that at bn:00103006a bn:00011425n it bn:00082690v
from action aboard it be easy to guess that person 's boast of twenty staunch follower be a modest estimate ``,from bn:00001127n bn:00114065r it bn:00083181v bn:00101973a to bn:00089105v that bn:00046516n 's bn:00011672n of bn:00095952a bn:00111172a bn:00035629n bn:00083181v a bn:00106837a bn:00031661n ``
`` well `` person venture `` why do not we hold a investigation with questioning and ``,`` well `` bn:00046516n venture `` why do not we bn:00088818v a bn:00047355n with bn:00046855n and ``
`` that would be worse than useless `` person break_in,`` that would bn:00083181v bn:00117641r than useless `` bn:00046516n bn:00083122v
`` there be not space to hold or force to guard any increased number of prisoner,`` there bn:00083184v bn:00116360r bn:00073039n to bn:00085582v or bn:00035767n to bn:00089102v any bn:00104887a bn:00034394n of bn:00015767n
besides suppose we hold a court of inquiry then what,bn:00114534r bn:00093288v we bn:00088818v a bn:00023301n of bn:00030953n bn:00117250r what
then we have inform a large_number of we crew that when they reach the united_states they will be punish but that in the meanwhile they may run loose and be expect to perform they job in_good_order,bn:00117250r we have bn:00089724v a bn:00009055n of we bn:00023774n that when they bn:00082790v the bn:00003341n they will be bn:00091527v but that in the bn:00115836r they may bn:00093170v bn:00115449r and be bn:00082820v to bn:00087107v they bn:00018756n bn:00114946r
person do this sound like a truly workable plan to you,bn:00046516n do this bn:00094053v like a bn:00115504r bn:00102521a bn:00062759n to you
do you not think these man might choose the black_flag here_and_now ``,bn:00087107v you bn:00116360r bn:00089105v these bn:00053096n might bn:00084931v the bn:00010896n bn:00043807n ``
person say `` of_course they would,bn:00046516n bn:00093287v `` bn:00114869r they would
they be about to do so at any moment as_it_is,they be about to bn:00087107v bn:00117045r at bn:00097285a bn:00046942n bn:00114361r
all that be need be for one man to feel self-confident enough to take the lead,all that be bn:00082822v bn:00083182v for one bn:00053096n to bn:00088098v bn:00110300a bn:00115216r to bn:00082277v the bn:00050342n
as soon as that one man be appoint by himself or the other or by a signal from person we be go to be rush,as soon as that one bn:00053096n be bn:00082716v by himself or the other or by a bn:00071525n from bn:00046516n we be go to be bn:00093202v
we be go to be rush and murder ``,we be go to be bn:00093202v and bn:00032175n ``
`` that be extravagant language person,`` that be bn:00102501a bn:00049910n bn:00046516n
we be not go to be rush and murder `` person say,we be bn:00116360r go to be bn:00093202v and bn:00032175n `` bn:00046516n bn:00093287v
`` we be go to bring the somers into new_york harbor safe and sound ``,`` we be go to bn:00084058v the somers into bn:00041611n bn:00042918n bn:00110046a and bn:00110939a ``
`` of_course i agree with the captain `` person say thoughtfully `` but the conspiracy be ferocious and desperate,`` bn:00114869r i bn:00082475v with the bn:00015750n `` bn:00046516n bn:00093287v bn:00117288r `` but the bn:00021712n bn:00083181v bn:00102901a and bn:00101241a
the instinct of discipline have be lose,the bn:00046765n of bn:00027486n have be bn:00090485v
anything be possible when anarchy have the upper_hand ``,anything bn:00083181v bn:00108829a when bn:00003840n bn:00089240v the bn:00079261n ``
he pause then add `` everything on a ship be a weapon,he bn:00083943v bn:00114281r bn:00082318v `` everything on a bn:00071103n bn:00083182v a bn:00005704n
implement of wood and iron be available for close and hasty combat no_matter where a man stand,bn:00046127n of bn:00081492n and bn:00006856n bn:00083181v bn:00097846a for bn:00099857a and bn:00103993a bn:00005731n bn:00115067r where a bn:00053096n bn:00094275v
and we be positive of so few and suspicious of so many ``,and we bn:00083181v bn:00100225a of bn:00117043r bn:00102920a and bn:00105832a of bn:00117043r bn:00106408a ``
`` we ourselves must stand_sentinel ``,`` we ourselves must bn:00090055v ``
person say,bn:00046516n bn:00093287v
`` under_arms day and night watch and watch about,`` bn:00117417r bn:00025419n and bn:00025236n bn:00080550n and bn:00080550n bn:00114078r
those of we present the person brother person and the other midshipman now have the responsibility of the somers,those of we bn:00108978a the bn:00046516n bn:00011357n bn:00046516n and the other bn:00054888n bn:00116381r bn:00089240v the bn:00029239n of the somers
a great_deal of labor we have as_well for we be too uncertain of where trust may be place ``,a bn:00008985n of bn:00049571n we bn:00089240v bn:00114246r for we bn:00083181v bn:00115274r bn:00104809a of where bn:00067031n may be bn:00090224v ``
and when he be alone again in the cabin person lower he head into he arm and weep for he know full well what must be do what in_the_end would be do,and when he bn:00083181v bn:00096869a bn:00114171r in the bn:00014437n bn:00046516n bn:00084074v he bn:00015784n into he bn:00005702n and bn:00086122v for he bn:00085261v bn:00115474r bn:00117603r what must be bn:00087106v what bn:00115833r would be bn:00087106v
with all he heart he have love the navy and now he must act in accordance with the navy 's implacable law,with all he bn:00012289n he have bn:00090504v the bn:00057052n and bn:00116381r he must bn:00082285v in bn:00000727n with the bn:00057052n 's bn:00104669a bn:00048655n
and when he do when he give to he ship that protection necessary to preserve she honor he know he would lose forever the navy to which he have dedicate he soul,and when he do when he bn:00088814v to he bn:00071103n that bn:00064837n bn:00107182a to bn:00083242v she bn:00044654n he bn:00085261v he would bn:00090485v bn:00115239r the bn:00057052n to which he have bn:00085427v he bn:00065006n
where have he fail,where have he bn:00087967v
how have he fail,how have he bn:00087967v
he who have try so hard who have yearn so passionately to be a great officer,he who have bn:00082844v bn:00117043r bn:00115590r who have bn:00089198v bn:00117043r bn:00116538r to bn:00083181v a bn:00103780a bn:00058699n
it come_to he as he weep there aboard the somers that it be as foolish to strive for greatness as to seek to storm the gate of heaven,it bn:00085383v he as he bn:00086122v bn:00114427r bn:00114065r the somers that it bn:00083181v as bn:00103179a to bn:00092416v for bn:00041624n as to bn:00082844v to bn:00088460v the bn:00037486n of heaven
it be give or it be not give,it be bn:00088803v or it be bn:00116360r bn:00088803v
one do one 's best and if fortune smile there be a reward,one bn:00087107v one 's bn:00010097n and if bn:00017622n smile there bn:00083185v a bn:00061123n
one do one 's best and if fortune frown a eighteen year old boy with murder in he heart sail aboard one 's ship,one bn:00087107v one 's bn:00010097n and if bn:00017622n frown a bn:00095941a bn:00078738n bn:00107786a bn:00012569n with bn:00032175n in he bn:00012289n bn:00093231v aboard one 's bn:00071103n
and person sob like a girl for the dream he have have and he feel no shame,and bn:00046516n bn:00094005v like a bn:00034021n for the bn:00003269n he have bn:00087863v and he bn:00087864v no bn:00070886n
god know he tear be he to shed if he so desire for it have not be with a egotist 's rage for fame that he have hold precious he naval career,god know he bn:00076312n bn:00083181v he to bn:00084631v if he so bn:00086682v for it have bn:00116360r be with a bn:00029942n 's bn:00060908n for bn:00016991n that he have bn:00086435v bn:00099583a he bn:00107165a bn:00014839n
another field have give he fame enough to satisfy any egotist,another bn:00005516n have bn:00082442v he bn:00016991n bn:00096447a to bn:00089027v bn:00097285a bn:00029942n
it be for love that he have serve the navy,it be for bn:00052121n that he have bn:00093512v the bn:00057052n
to have someday that love return be what he have live for,to bn:00088733v bn:00117066r that bn:00052121n bn:00092791v bn:00083182v what he have bn:00087844v for
now the hope be gone,bn:00116381r the bn:00044736n bn:00083181v bn:00101700a
yes he would bring the somers safely into new_york harbor but at a price,yes he would bn:00084058v the somers bn:00116894r into bn:00041611n bn:00042918n but at a bn:00022997n
dear god at what a price,dear god at what a bn:00022997n
and after a while he dry he tear and walk the deck as a captain should with assurance and dignity,and after a bn:00060969n he bn:00087401v he bn:00076312n and bn:00095597v the bn:00025719n as a bn:00015750n should with bn:00006565n and bn:00027104n
stern faced he inspect the prisoner satisfy himself that they be clean well feed and comfortable within reason,bn:00097783a bn:00102688a he bn:00089776v the bn:00015767n bn:00088614v himself that they bn:00083181v bn:00099776a bn:00117603r bn:00088085v and bn:00100068a within reason
the prisoner avert they eye but not before he have glimpse hatred and anger,the bn:00015767n bn:00082955v they bn:00032512n but bn:00116360r before he have bn:00088889v bn:00043140n and bn:00004085n
only person the giant boatswain be mild-mannered and respectful,bn:00114234r bn:00046516n the bn:00102113a bn:00011628n bn:00083181v bn:00106720a and bn:00109738a
he say `` captain may i speak please,he bn:00093287v `` bn:00015750n may i bn:00094089v please
captain i be innocent of any plot against you or the ship ``,bn:00015750n i bn:00083181v bn:00099796a of bn:00097285a bn:00037187n against you or the bn:00071103n ``
`` be you person ``,`` bn:00083181v you bn:00046516n ``
`` yes sir,`` yes bn:00071803n
before god i swear i be innocent,before bn:00040878n i bn:00082435v i bn:00083181v bn:00099796a
i know nothing of any plot if there be such a thing ``,i bn:00085261v bn:00007146n of bn:00097285a bn:00037187n if there bn:00083184v such a bn:00076918n ``
`` you be the only man aboard who can be in doubt ``,`` you bn:00083182v the only bn:00053096n bn:00114065r who can bn:00083181v in bn:00028425n ``
`` i can not speak_for other sir but i be innocent ``,`` i can not bn:00094092v other bn:00071803n but i bn:00083181v bn:00099796a ``
he lean closer to person squint up at he from the deck,he bn:00082613v closer to bn:00046516n bn:00094230v up at he from the bn:00025719n
`` surely captain you do not find my name on any suspicious paper or anything ``,`` bn:00114694r bn:00015750n you do bn:00116360r bn:00084231v my bn:00056758n on bn:00097285a bn:00103017a bn:00060465n or anything ``
`` no person i do not find you name,`` no bn:00046516n i do bn:00116360r bn:00084231v you bn:00056758n
you be careful about that ``,you bn:00083181v bn:00099268a about that ``
now person seem with effort to shake himself from lethargy speak,bn:00116381r bn:00046516n bn:00082690v with bn:00029899n to bn:00087727v himself from bn:00050088n bn:00094089v
he say `` person be tell you the truth,he bn:00093287v `` bn:00046516n be bn:00093287v you the bn:00078460n
he be innocent ``,he bn:00083181v bn:00099796a ``
person shift he gaze to person,bn:00046516n bn:00093612v he bn:00037551n to bn:00046516n
the calmness and detachment of he tone suggest unawareness of how implicit be he own guilt in the words he have used to defend person,the bn:00014878n and bn:00026618n of he bn:00077553n bn:00087782v bn:00078945n of how bn:00104674a bn:00083181v he bn:00096707a bn:00042128n in the bn:00081564n he have bn:00113453a to bn:00086452v bn:00046516n
